resort,country,total score,overall rank,hastags number,hashtag rate,hashtag rank,tripadvisor score,tripvadvisor rate,tripadvisor rank,ski pass cost,ski pass cost rate,ski pass cost rank,food and drinks cost,food and drinks score,food and drinks rank
Panorama,Canada,57,65,10530,1,127,4,20,135,125,22,5,375.41,14,61
Levi,Finland,57,65,161485,2,81,4.33,21,82,180,20,100,361,14,61
Saariselkä,Finland,57,65,23806,1,127,4.26,21,82,172,21,34,375.41,14,61
Saint Gervais,France,57,65,52947,1,127,4.06,20,135,177,21,34,352,15,24
Sainte Foy,France,57,65,26546,1,127,4.06,20,135,140,22,5,375,14,61
St Francois de Longchamp,France,57,65,27,1,127,4,20,135,153,21,34,352,15,24
Val Cenis,France,57,65,47318,1,127,4.3,21,82,142,22,5,402,13,141
Pila,Italy,57,65,6820,1,127,4.13,20,135,142,22,5,375,14,61
Pragelato,Italy,57,65,31978,1,127,4.3,21,82,155,21,34,375,14,61
St Cristina,Italy,57,65,633,1,127,4,20,135,167,21,34,352,15,24
Veysonnaz,Switzerland,57,65,19561,1,127,4.1,20,135,249,18,186,240,18,12
Alyeska,USA,57,65,58510,1,127,4.5,22,31,331,15,242,227,19,5
Lake Louise,USA,57,65,1178559,12,12,4.33,21,82,377,14,254,489,10,197
Hintertux,Austria,56,83,135410,2,81,4,20,135,210,19,161,335.65,15,24
Igls,Austria,56,83,16141,1,127,4.5,22,31,130,22,5,470,11,178
Lofer,Austria,56,83,60900,1,127,4.2,21,82,207,20,100,361,14,61
Solden,Austria,56,83,145345,2,81,4.15,20,135,212,19,161,352,15,24
St Christoph,Austria,56,83,5696,1,127,4,20,135,203,20,100,352,15,24
Ruka,Finland,56,83,24307,1,127,3.8,19,202,176,21,34,352,15,24
Salla,Finland,56,83,3095,1,127,4.13,20,135,153,21,34,375.41,14,61
Le Grand Bornand,France,56,83,56000,1,127,4.63,23,4,153,21,34,452,11,178
Les Menuires,France,56,83,107446,2,81,4.23,21,82,277,17,210,309,16,22
Les Sybelles,France,56,83,46873,1,127,4.26,21,82,190,20,100,361,14,61
Meribel,France,56,83,316521,4,40,4.33,21,82,277,17,210,373,14,61
Risoul,France,56,83,53398,1,127,4.1,20,135,164,21,34,375,14,61
Saint Lary Soulan,France,56,83,26713,1,127,3.9,19,202,172,21,34,352,15,24
Saint Martin De Belleville,France,56,83,14564,1,127,4.13,20,135,187,20,100,352,15,24
Val d'Isere,France,56,83,392048,4,40,4.3,21,82,254,18,186,402,13,141
Furano,Japan,56,83,243261,3,60,4.56,22,31,168,21,34,499,10,197
Sahoro,Japan,56,83,5589,1,127,4.13,20,135,160,21,34,375.41,14,61
Geilo,Norway,56,83,238326,3,60,3.83,19,202,138,22,5,430,12,166
Hemsedal,Norway,56,83,269192,3,60,3.7,18,239,167,21,34,361,14,61
Are,Sweden,56,83,511318,6,25,3.83,19,202,168,21,34,473,10,197
Adelboden,Switzerland,56,83,113503,2,81,4.56,22,31,266.5,18,186,375.41,14,61
Scuol,Switzerland,56,83,44961,1,127,4.23,21,82,230,19,161,352,15,24
Villars,Switzerland,56,83,80037,1,127,4.2,21,82,274,17,210,298,17,18
Wengen,Switzerland,56,83,138574,2,81,4,20,135,294,17,210,298,17,18
Sundance,USA,56,83,682307,7,23,4.3,21,82,335,15,242,402,13,141
Fulpmes,Austria,55,108,10598,1,127,4.4,22,31,172,21,34,441.42,11,178
Hochkoenig,Austria,55,108,10845,1,127,4,20,135,238,19,161,335.65,15,24
Hochsolden,Austria,55,108,4021,1,127,4.13,20,135,211,19,161,335.65,15,24
Neustift,Austria,55,108,29303,1,127,4.5,22,31,191,20,100,432,12,166
